audio_name,actor,text,emotion,sound,length,mfcc_mean,mfcc_sd,mfcc_median,mfcc_max,mfcc_min,spectral_centroid_mean,spectral_centroid_sd,spectral_centroid_median,spectral_centroid_max,spectral_centroid_min,spectral_rolloff_mean,spectral_rolloff_sd,spectral_rolloff_median,spectral_rolloff_max,spectral_rolloff_min,ratio
data/wav/03a01Fa.wav,03,a01,happy,"[ 0.00067139  0.00308228  0.00253296 ... -0.00231934 -0.00186157
 -0.00186157]",30372,-1.1725934,57.300438,1.6212211,181.90762,-494.78424,184.56867749751726,89.21022495747063,157.0504170413783,476.72543345022405,62.55387941746602,354.53125,151.15049509667097,350.390625,682.8125,100.0,0.37485853967679145
data/wav/03a01Nc.wav,03,a01,neutral,"[ 2.7465820e-04  9.1552734e-05  3.9672852e-04 ... -9.1552734e-05
 -2.1362305e-04 -3.0517578e-05]",25780,0.72359705,63.53499,3.1829095,207.10104,-495.21655,139.23533254341638,80.0860408715805,119.56403976370773,434.25892036106075,52.47070151923818,269.3780637254902,127.8909922542402,235.15625,617.1875,82.8125,0.48391181718758997
data/wav/03a01Wa.wav,03,a01,anger,"[ 0.0000000e+00  3.0517578e-05 -1.5258789e-04 ... -3.9672852e-04
 -4.5776367e-04 -1.5258789e-04]",30045,-2.6853533,50.47197,-1.8509173,198.15494,-479.02402,215.48518124309237,78.20629676534394,195.54594980060799,478.41732852714784,116.6268657767032,394.69014830508473,116.68020314354484,375.78125,676.5625,221.875,0.36549561423442256
data/wav/03a02Fc.wav,03,a02,happy,[0.0007019  0.00250244 0.00268555 ... 0.00024414 0.00015259 0.        ],32100,-1.8849022,47.04022,0.9343088,127.197296,-413.02994,207.58516539967596,88.07377626045205,193.09397648390743,527.6040588825836,75.96321898599037,417.0262896825397,148.1409003343889,393.75,731.25,146.09375,0.3884083044982699
data/wav/03a02Nc.wav,03,a02,neutral,"[ 6.1035156e-05 -3.0517578e-04 -1.5258789e-04 ...  2.1362305e-04
  6.1035156e-05 -6.1035156e-05]",23037,3.1674464,56.881504,4.570874,212.74846,-472.4131,146.7793387725695,77.73571190321123,124.00197596778062,435.8898391772698,54.14428411566314,303.68055555555554,152.76571922108639,289.0625,649.21875,93.75,0.33261988777694224
data/wav/03a02Ta.wav,03,a02,sadness,[0.         0.         0.00021362 ... 0.00021362 0.00021362 0.        ],27771,3.3954945,52.273727,4.8469753,168.95502,-459.49045,179.62967688907128,121.86969820724303,123.22149973167811,541.3840441186231,56.05319940979747,342.27272727272725,180.45025071994644,335.9375,710.9375,76.5625,0.330092437377269
data/wav/03a02Wb.wav,03,a02,anger,[0.00265503 0.00320435 0.00411987 ... 0.00076294 0.00076294 0.00076294],33978,-1.0175458,46.2859,1.1149915,151.27759,-503.51837,244.1423491947641,97.01276182441444,223.11131518961034,554.4885074354127,110.88106667277754,444.11147388059703,133.9479237216944,435.9375,723.4375,212.5,0.2630287710950859
data/wav/03a02Wc.wav,03,a02,anger,"[ 9.1552734e-05  1.2207031e-04  6.1035156e-05 ... -4.5776367e-04
 -3.9672852e-04 -3.9672852e-04]",23969,-4.8987045,55.289867,-2.8517957,181.6261,-519.1115,211.4744117570944,68.95429661417579,199.37795060846338,516.0422705577919,90.56463876648762,392.96875,114.42488339296956,385.15625,700.78125,187.5,0.32301153612629024
data/wav/03a04Ad.wav,03,a04,anxiety,"[ 1.5258789e-04 -1.5869141e-03 -9.1552734e-04 ...  6.1035156e-05
  0.0000000e+00 -6.1035156e-05]",24078,-0.68595153,42.06478,0.24844415,121.68404,-477.74774,230.1904825518907,98.14553459164813,210.18121751890178,509.98343609528405,93.69334807964478,445.654296875,134.97670914633036,451.171875,695.3125,151.5625,0.21013218073076342
data/wav/03a04Fd.wav,03,a04,happy,"[ 3.0517578e-05 -9.1552734e-05 -2.7465820e-04 ...  3.0517578e-05
  1.2207031e-04  0.0000000e+00]",27149,-3.1897335,58.168327,1.9286754,159.40964,-480.5168,185.041769171169,95.40951376727904,160.95087873551,514.1657067263594,69.1693567186423,351.1863425925926,159.47756922812914,304.6875,712.5,93.75,0.4508095976059424
data/wav/03a04Lc.wav,03,a04,boredom,"[ 0.00140381  0.00140381  0.00161743 ... -0.00213623 -0.00198364
 -0.00183105]",30896,2.181067,58.99089,3.5385184,207.22046,-433.68683,145.71256706039716,77.1880473011301,117.37620639144701,409.4737565827586,53.98360770746322,282.4538934426229,150.8881884335725,219.53125,628.90625,84.375,0.2480710967481317
data/wav/03a04Nc.wav,03,a04,neutral,"[ 0.          0.          0.         ... -0.00067139 -0.00030518
 -0.00064087]",24981,2.5099046,56.192787,3.649918,216.09459,-473.05457,151.62704464477784,83.46942150055503,127.77009347383499,480.0753312122481,67.52243175150186,291.6294642857143,148.75570083184877,237.5,635.15625,108.59375,0.24699246243697898
data/wav/03a04Ta.wav,03,a04,sadness,[0.00039673 0.00039673 0.00039673 ... 0.         0.00039673 0.        ],33017,4.2025876,52.932938,5.8781624,172.49069,-461.9668,147.81093203425817,82.48111844799115,121.8049518875521,421.342491715752,54.42611781540454,285.96153846153845,153.5534117611801,241.40625,607.8125,69.53125,0.2833598942744976
data/wav/03a04Wc.wav,03,a04,anger,"[ 0.0000000e+00  5.1879883e-04  8.2397461e-04 ...  3.0517578e-05
  0.0000000e+00 -6.1035156e-05]",32706,-4.4735804,51.065464,-2.1763515,165.30692,-470.41064,226.19343939693644,105.54238430027046,185.2564241749169,554.7430990236244,102.04417736015579,405.517578125,141.5857261483957,374.609375,723.4375,196.09375,0.28576483075834413
data/wav/03a05Aa.wav,03,a05,anxiety,"[ 0.          0.00024414  0.00024414 ... -0.00186157 -0.00128174
 -0.00015259]",49402,0.21117586,37.482964,0.17740104,137.14062,-474.32126,222.3912493507459,98.28679600865495,196.2111189374454,489.5576449526807,81.41404916066222,433.46488402061857,126.22355819496723,439.84375,687.5,132.03125,0.21461411747350823
data/wav/03a05Fc.wav,03,a05,happy,[0.00244141 0.00204468 0.00280762 ... 0.00231934 0.00216675 0.00204468],51139,0.73410565,45.063416,1.8994737,174.33882,-439.69934,208.51136567788876,115.41626208443138,172.18598037898758,567.9527243602618,56.192679468009565,378.4453125,176.22811584965086,383.984375,720.3125,35.9375,0.3051989484699216
